l2id,ldnd,ling_resem
"eng,fra",0.9174555275265333,0.17363884250831974
"cre,eng",,
"eng,oji",,
"cre,fra",,
"fra,oji",,
"cre,oji",,
"fra,spa",0.8103565237054344,0.28009814387484355
"hat,spa",0.8851240269754184,0.20577722697502
"fra,hat",0.4784967278084739,0.6099757408863258
"ctu,nhw",0.9809829163234968,0.11049090286677543
"ctu,spa",0.9666349668828028,0.12475315199142667
"ctu,nhe",0.9770171059018335,0.11443302549891121
"ctu,yua",0.6615369545886562,0.42802881355972955
"ctu,tzh",0.6020548137734312,0.48715566748968697
"nhw,spa",0.9723402302733898,0.11908196614465183
"nhe,nhw",0.2846697170220791,0.8026450227477148
"nhw,yua",1.017538570742604,0.07415359540726807
"nhw,tzh",1.0055751908567865,0.08604551801332627
"nhe,spa",0.97967401725791,0.11179198387696321
"spa,yua",0.9810655919964552,0.11040872101569255
"spa,tzh",0.9718476769572072,0.11957157743939517
"nhe,yua",1.0317346743055382,0.06004228518480004
"nhe,tzh",0.996622863279158,0.0949443733295775
"tzh,yua",0.6738922805775911,0.4157472859450112
"bzj,eng",0.6576190235945042,0.43192334274822153
"bzj,mop",1.0074706883938855,0.08416134228487027
"bzj,kek",1.0130845195687073,0.07858104252914655
"bzj,spa",0.973813293027326,0.11761770199598576
"bzj,cab",0.997691774104815,0.09388184710932768
"bzj,yua",0.9974695960478122,0.09410269809657867
"eng,mop",0.9702020437226244,0.12120738130505826
"eng,kek",0.9827663358663524,0.10871813569059363
"eng,spa",0.9506022591759123,0.14069009631950258
"cab,eng",1.029379453937871,0.06238343781890776
"eng,yua",0.9693920897530532,0.12201249741877696
"kek,mop",0.7171180481448615,0.37277970592969845
"mop,spa",0.9829609906858732,0.1085246435445002
"cab,mop",1.012773504493109,0.07889019991139412
"mop,yua",0.51218054888558,0.5764931133054587
"kek,spa",0.9877892010064226,0.1037252721289178
"cab,kek",0.9987462441365296,0.09283367542814391
"kek,yua",0.7255092780653916,0.36443859683369095
"cab,spa",1.0062235565812283,0.08540102497799074
"cab,yua",0.9929390691263316,0.09860616417632606
"quc,spa",1.004936591151481,0.08668030336196753
"cab,quc",0.9778790736568296,0.11357620627815879
"kek,quc",0.5981762403679032,0.49101107417247014
"miq,spa",0.9805445764820124,0.11092662450395785
"cab,miq",0.9986152650922016,0.09296387213451196
"miq,pay",0.9389312698292884,0.15229137483534394
"pay,spa",0.9830834893570012,0.1084028765580547
"cab,pay",0.9917500290491936,0.09978810211592026
"miq,sum",,
"bzk,miq",0.9941110934267072,0.09744114037824292
"spa,sum",,
"bzk,spa",0.9744620477654292,0.11697282227056771
"bzk,sum",,
"cjp,jam",0.9898603609062946,0.10166648326915351
"bzd,jam",1.0032642682884925,0.08834263743885962
"jam,spa",0.9738784341572022,0.117552949954142
"bzd,cjp",0.6487248137792345,0.44076442743956534
"cjp,spa",1.0403435575736626,0.05148482278485644
"bzd,spa",1.0032430556308771,0.08836372339325027
"gym,jam",0.961744741967852,0.12961416758817745
"emp,gym",0.9761521040677908,0.11529286067615307
"cuk,gym",0.9117523375315496,0.1793079673438851
"gym,spa",1.0065762067663608,0.08505048117275893
"emp,jam",0.953664754498674,0.1376458932842991
"cuk,jam",0.9780302559895944,0.11342592695761555
"cuk,emp",0.9243252349128755,0.16681016789091518
"emp,spa",1.0123375610474656,0.07932353946641024
"cuk,spa",0.9835298183922038,0.10795921344661585
"guc,pbb",1.0170433914867023,0.0746458169569898
"pbb,spa",1.0035221665179277,0.08808627963580107
"guc,spa",1.0109012581091037,0.08075126336591654
"guc,wba",0.9620775701685818,0.1292833273706162
"spa,wba",1.016176663884209,0.07550736759466581
"arw,gyn",0.9994288411887096,0.09215515552882414
"gyn,yue",0.964117988584433,0.12725509637595855
"srn,yue",0.9888500139154732,0.10267079545641056
"hak,yue",0.6616114186689633,0.42795479425344696
"hns,yue",,
"djk,yue",0.9982339932713572,0.09334286661839752
"srm,yue",0.9858761309210982,0.10562691544475145
"nld,yue",0.9936807591037806,0.09786890431383777
"car,yue",1.0040222947240574,0.08758913869593576
"jvn,yue",,
"tri,yue",1.001687744779085,0.08990974437180332
"gyn,srn",0.6626762316787146,0.4268963413728445
"gyn,hak",1.0056686138327475,0.08595265305289201
"gyn,hns",,
"djk,gyn",0.6967364685891348,0.39303954629080384
"gyn,srm",0.6706257409020848,0.4189943145758407
"gyn,nld",0.8610989010989011,0.2296588507511783
"car,gyn",1.0032521883225585,0.08835464525114534
"gyn,jvn",,
"gyn,tri",1.035024372630439,0.05677223623121164
"hak,srn",1.0245012001462876,0.06723255379582249
"hns,srn",,
"djk,srn",0.3659280208503443,0.721872074847693
"srm,srn",0.5189639495160144,0.5697502299336246
"nld,srn",0.7660781949825046,0.32411199809700353
"car,srn",0.9767817065108384,0.11466701884911368
"jvn,srn",,
"srn,tri",0.979380068601716,0.11208417677754634
"hak,hns",,
"djk,hak",1.0225022837860511,0.06921953062668429
"hak,srm",0.9893399434630644,0.10218379225848628
"hak,nld",0.9879207525041388,0.10359450638842616
"car,hak",0.9804531391789276,0.11101751565194196
"hak,jvn",,
"hak,tri",0.9829476097479538,0.10853794455806431
"djk,hns",,
"hns,srm",,
"hns,nld",,
"car,hns",,
"hns,jvn",,
"hns,tri",,
"djk,srm",0.499424137890959,0.589173330244732
"djk,nld",0.8047045973049078,0.28571631131345177
